shipment_mass_release,shipment_status,shipment_pro,shipment_equipment_type_code,shipment_customer_ref_num,shipment_load_description,revenue_type_rev_type,customer name,carrier name,shipment_customer_total_rates,shipment_carrier_total_rates,shipment_gross_profit,shipment_net_margin,pick_stop_1_name,pickup,pick_stop_last_name,consignee,sales rep name,dispatcher assgn name,shipment_created_at,shipment_miles_truck,shipment_miles_customer,pick_stop_1_ready_or_deliver_date,pick_stop_1_location_zip,pick_stop_last_location_zip
true,RELEASED,12589,R,4502600907,POD RCVD - TOTES,B,"DANISCO US, INC.","MATT HENNINGS TRUCKING, INC.",850.0,800.0,50.0,0.0588,IFF - GENECOR,"BELOIT, WI",MRS - WORLEY WAREHOUSING,"CEDAR RAPIDS, IA",RYNE BANDOLIK,arciev1,2026-01-29 06:07:00 UTC,160,162,02/02/26,53511,52404
true,RELEASED,12590,FTL,FR-108643,POD RCVD - FAK,B,THE ROYAL GROUP,PYH EXPRESS INC,795.0,625.0,170.0,0.2138,THE ROYAL GROUP,"CICERO, IL",PROCON-LITTLE CHUTE,"LITTLE CHUTE, WI",RYNE BANDOLIK,arciev1,2026-01-29 14:01:00 UTC,190,207,01/30/26,60804,54140
false,RELEASED,12591,FTL,60113027605,POD RCVD - FAK,I,PRIORITY 1 INC,IVAN CARTAGE CO,400.0,0.0,400.0,1.0,Adams Plastic,"GURNEE, IL",Trim-Tex,"LINCOLNWOOD, IL",RUBEN VARGAS,arciev1,2026-01-29 20:23:56 UTC,35,35,01/28/26,60031,60712-2508
false,RELEASED,12592,FTL,262704,POD RCVD - FAK,I,THE WORTHINGTON COMPANY,IVAN CARTAGE CO,400.0,0.0,400.0,1.0,UsedCardboardBoxes.com,"MILWAUKEE, WI",Marcell's Paper And Metal,"CHICAGO, IL",IVAN CARTAGE CO,,2026-01-29 20:28:47 UTC,91,91,01/27/26,53221-3662,60624-1016
false,RELEASED,12593,TL,65927129,POD RCVD - SKID,I,ECHO,IVAN CARTAGE CO,575.0,0.0,575.0,1.0,"Gehl Foods, Pick Ups","GERMANTOWN, WI",HUB BOLINGBROOK,"BOLINGBROOK, IL",IVAN CARTAGE CO,arciev1,2026-01-29 20:31:40 UTC,123,123,01/28/26,53022,60440-3065
false,RELEASED,12594,FTL,0255606,POD RCVD - FAK,I,BRIDGE LOGISTICS,IVAN CARTAGE CO,400.0,0.0,400.0,1.0,MAJIC PLASTICS,"MILWAUKEE, WI",ANTEK MADISON PLASTICS USA,"CHICAGO, IL",IVAN CARTAGE CO,arciev1,2026-01-29 20:36:00 UTC,104,112,02/03/26,53218,60619
true,RELEASED,12595,V,STORAGE FEB 2026,STORAGE,B,OLDS PRODUCTS,BCAT,2400.0,0.0,2400.0,1.0,OLDS PRODUCTS,"PLEASANT PRAIRIE, WI",OLDS PRODUCTS,"PLEASANT PRAIRIE, WI",RYNE BANDOLIK,,2026-01-30 00:33:18 UTC,0,0,02/28/26,53158,53158
false,RELEASED,12596,FTL,,POD RCVD - PALLET,I,CARLYN DAIRY PRODUCTS,IVAN CARTAGE CO,175.0,0.0,175.0,1.0,CARLYN DAIRY PRODUCTS,"MUNDELEIN, IL",FURLANI FOODS,"OAK CREEK, WI",RYNE BANDOLIK,arciev1,2026-01-30 12:06:42 UTC,50,50,01/29/26,60060,53154
false,RELEASED,12597,TL,201191688,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,645.42,0.0,645.42,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-CALHOUN,"NEW BERLIN, WI",IVAN CARTAGE CO,arciev1,2026-01-30 08:02:00 UTC,93,102,02/02/26,60609,53151
false,RELEASED,12598,TL,200582088,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,493.0,0.0,493.0,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",EAGLE FOODS,"WAUKEGAN, IL",IVAN CARTAGE CO,arciev1,2026-01-30 08:04:00 UTC,45,53,02/02/26,60609,60087
